
none

Amino misc               0.00              

Deca

Amino Deca Muscle Gainer  17.99   2024-04-24
Riegel Deca Basic        1.99    2024-04-24

multiple

Amino NaDuRia Pur        0.00              

Aldi

Aldi Bratk               2.89    2024-05-13
Cashew A                 2.29    2024-05-29
Gemüse A                2.49    2024-05-29
Nussmisch A              0.00              
Nussmisch A ger          0.00              
Pistazien                0.00              

Rewe

Artisch R viertel        2.29    2024-04-28
Bresso                   0.00              
Bresso mini              1.11    2024-06-04
Brokkoli R               2.19    2024-03-23
Cashew R Bio             2.99    2024-05-06
Champ mini ganz R        0.00              
Chili vegan              1.89    2024-05-11
Chips light              2.19    2024-03-23
Chick R Bio              0.85    2024-03-23
Duplo                    0.55    2024-04-24
Ferrero Kuesschen        0.97    2024-05-06
Frischk R Bio            0.00              
Frosta Bratk             2.99    2024-04-24
Frosta Frikassee         2.99    2024-06-04
Frosta Gesch             3.49    2024-03-23
Frosta Paella            2.99    2024-06-04
Geb Bohnen               1.39    2024-05-11
Gemüse R                1.99    2024-05-17
Gemüse R Bio            1.99    2024-05-17
Green beans R            1.49    2024-04-24
Käse Gr Sch (all)       1.39    2024-06-04
Käse Gr W (all)         0.00              
Karamalz                 0.75    2024-05-15
Kartoffeltaschen F       0.00              
Kartoffel Wedges         1.89    2024-04-28
Kartoffel Wedges Bio     2.69    2024-05-16
Linsen R Bio             1.39    2024-03-23
Linsen vegan             0.00              
Lyoner R Bio             1.39    2024-03-23
Mandel R Bio             2.29    2024-04-28
Milch H                  1.49    2024-05-15
Oliven R Bio             1.89    2024-04-28
Öl                      1.99    2024-05-01
Patros 150               1.69    2024-04-28
Patros W                 2.99    2024-04-11
Philadelphia             1.49    2024-06-01
Philadelphia mini        0.00              
Pommes                   1.89    2024-05-11
Pommes R Bio             2.49    2024-05-11
Pumpernickel R Bio       1.09    2024-03-23
Ricola Zitronenm mini    1.65    2024-05-15
Riegel Seitenb Sch       1.99    2024-03-23
Ritter Sp 50%            1.69    2024-04-16
Ritter Sp 81%            1.69    2024-04-24
Salami R                 1.79    2024-03-23
Vollkorn Rhein R         0.00              
Walnuss R Bio            2.99    2024-04-28

Norma

Avocado                  1.89    2024-04-28
Cashew N                 2.29    2024-04-06
Champ N                  0.99    2024-05-11
Donuts                   2.89    2024-05-16
Eiweißbr                1.89    2024-05-11
Erdn Salz N big          2.39    2024-03-30
Fischst                  2.79    2024-04-28
Mandel N                 1.89    2024-04-06
Mehrkornbr               0.00              
Mohnkuchen               2.89    2024-05-15
Nussmisch N              2.79    2024-04-06
Pizza Mag                2.99    2024-05-06
R Rüben N               0.99    2024-05-11

Eni

Cappuccino Eni           2.39    2024-04-30

Edeka

Cashew E                 0.00              

Bavaria

Falafel                  0.00              

Kfc

Kfc Original             5.99    2024-04-17

Denns

Olivenöl                16.99   2024-04-24

DM

Ricola Zitronenm         1.75    2024-05-15
